nisa,categorie,public,promovam,programe_afiliere,comision_est,bani,trafic,seo,sinergie,placere,scor,cost_pornire,timp_bani,business_propriu,site_separat,newsletter,tool,produs_digital,shopify,prioritate,status
eSIM calatorii,Turism,calatori 20-45,eSIM date mobile,Airalo/Saily/Impact,10-25%,4,4,4,5,4,43,0,2-4 sapt,D,D,D,D,D,N,ACUM,test
Hosting & domenii,Hosting,freelanceri/firme mici,hosting wp+domenii,Hostinger Impact/2P,30-60%,5,3,3,5,4,42,0,1-2 luni,D,D,D,D,D,N,ACUM,test
Suplimente & vitamine,Suplimente,25-55 sanatate,vitamine/proteine,Vegis/DrMax/iHerb,10-20%,4,4,3,5,4,41,0,2-4 sapt,D,D,D,N,D,D,ACUM,test
AI tools,AI tools,creatori/antreprenori,SaaS AI video/text,Impact/direct SaaS,20-30% rec,4,4,3,5,5,41,0,1-2 luni,D,D,D,D,D,N,ACUM,test
Cadouri pe ocazii,Cadouri,25-50 cumparatori,produse cadou,2P multi-magazin,5-8%,4,4,3,5,3,40,0,sezonier,N,N,D,D,N,N,ACUM,test
Pet hrana & accesorii,Pet,stapani animale,hrana/accesorii,Petmart/Petmax/Zooplus,4-8%,4,4,3,4,4,39,0,1-2 luni,D,D,D,N,N,D,ACUM,test
Energie solara,Energie solara,proprietari case,panouri/lead-gen,lead-gen instalatori,50-200€/lead,5,3,3,3,5,38,10€,3-6 luni,D,D,D,D,D,N,ACUM,idee
Fashion off-price,Fashion,16-35 vanatori oferte,Temu/Shein/Trendyol,de aplicat Impact,3-10%,4,5,3,4,2,38,0,depinde aprobare,N,N,D,N,N,N,ACUM,test
Cursuri online,Educatie,studenti/profesionisti,Coursera/Udemy,Impact 15-30%,15-30%,4,3,3,4,4,37,0,sezon sept,D,D,D,N,D,N,MAI TARZIU,test
Turism intern,Turism,familii RO,cazari/experiente,Booking-Awin/KKday,3-10%,3,5,2,4,4,37,0,sezonier,N,D,D,N,N,N,MAI TARZIU,idee
VPN & securitate,VPN,useri privacy,VPN/antivirus,NordVPN/Surfshark Impact,30-40%,5,3,2,4,3,37,0,1-3 luni,N,N,N,N,N,N,ACUM,test
Software facturare RO,Software B2B,IMM/PFA,facturis-online,2P 35% recurent,35% rec,4,2,4,4,3,37,0,1-2 luni,N,N,N,D,N,N,ACUM,test
Carti & rezumate,Carti,cititori,librarii online,Libris/Carturesti/BookZone 2P,8-10%,3,4,3,5,4,37,0,1-2 luni,N,N,D,N,D,N,ACUM,test
Flori & buchete,Cadouri,barbati 25-55 ocazii,floria.ro,2P 7%,7%,3,4,3,5,3,36,0,sezonier,N,N,N,N,N,N,ACUM,test
Gaming periferice,Gaming,gameri 16-30,periferice/laptopuri,PCGarage/eMAG 2P,2-4%,3,4,3,5,4,36,0,1-2 luni,N,N,D,N,N,N,ACUM,test
Smart home,Tech,proprietari tech,becuri/camere smart,eMAG/Altex 2P,2-4%,3,4,3,5,3,35,0,1-2 luni,N,N,N,N,N,N,MAI TARZIU,test
Baterii & invertoare,Baterii/invertoare,prosumatori/camping,statii power/invertoare,eMAG/specializati,3-6%,4,3,3,3,4,35,0,2-3 luni,D,D,N,D,N,D,MAI TARZIU,idee
Fitness acasa,Sport,25-45 fitness,echipament/aparate,Decathlon/eMAG,3-6%,3,4,3,4,3,34,0,sezon ian,N,N,D,N,D,N,MAI TARZIU,idee
Cafea de specialitate,Hobby,25-45 urban,boabe/espressoare,2P cafenele online,5-10%,3,3,3,4,4,33,0,2-3 luni,D,D,D,N,N,D,MAI TARZIU,idee
Trading & investitii,Finante,20-40 investitori,brokeri/exchange,Binance ref/XTB,CPA fix,5,3,2,3,3,34,0,1-3 luni,N,N,D,D,D,N,MAI TARZIU,test
Carduri & banking,Finante,20-40 digital,Revolut/Wise/N26,programe directe,CPA 10-40€,4,3,2,4,3,34,0,depinde aprobare,N,N,N,D,N,N,MAI TARZIU,test
Parfumuri,Beauty,18-45,parfumuri/dupe-uri,Notino 2P,4-7%,3,4,2,5,3,34,0,1-2 luni,N,N,D,N,N,N,ACUM,test
Skincare & K-beauty,Beauty,18-35 femei,skincare rutine,Notino/Douglas 2P,4-7%,3,4,2,4,4,33,0,1-2 luni,N,D,D,N,D,D,MAI TARZIU,idee
Piese auto,Auto,soferi 25-55,piese/consumabile,Autobob/automobilus 2P,4-8%,3,4,2,5,3,34,0,1-2 luni,N,N,N,D,N,N,ACUM,test
Anvelope sezoniere,Auto,soferi,anvelope vara/iarna,magazine anvelope 2P,3-5%,3,4,3,4,2,33,0,sezon oct/mar,N,N,N,D,N,N,MAI TARZIU,idee
Scule & bricolaj,Renovari,barbati 30-60,scule electrice,Dedeman-like/Scule365 2P,3-6%,3,4,3,4,3,34,0,1-2 luni,N,N,N,N,N,N,MAI TARZIU,test
Mobilier & deco,Casa/gradina,25-45 proprietari,mobila/decoratiuni,vidaXL/2P,4-8%,3,4,2,4,3,32,0,1-2 luni,N,N,D,N,N,N,MAI TARZIU,test
Gradinarit urban,Casa/gradina,30-60,seminte/unelte,Plantor/pepiniere PS,5-8%,2,3,4,3,3,30,0,sezon mar-iun,N,D,D,N,D,N,MAI TARZIU,idee
Bebelusi & mame noi,Copii,mame 25-38,carucioare/scutece,Noriel/Bebeshop 2P,4-7%,3,4,2,4,3,32,0,1-2 luni,N,D,D,N,D,N,MAI TARZIU,idee
