Affiliate program,Promotion name,Start Date,End Date,Description (for affiliate),Description (for customer),Coupon code,Landing Page,Benefits & Tools
shopika.ro/,Promotie 1 Iunie - reducere 15% la tot. Perioada 29.05-01.06.2026 ,2026-05-28 21:00:00 UTC,2026-06-01 20:45:00 UTC,"Promotie 1 Iunie - reducere 15% la toate produsele mai putin cele cu pret redus din alte promotii. Campanie valabila in limita stocului disponibil. 
Perioada 29.05-01.06.2026. 
Landing-page: https://www.shopika.ro/imbracaminte
Spor la conversii!","Promotie 1 Iunie - reducere 15% la toate produsele mai putin cele cu pret redus din alte promotii. Campanie valabila in limita stocului disponibil. 
Perioada 29.05-01.06.2026. ","",https://www.shopika.ro/imbracaminte,Special Banners
bestvalue.eu,SALE Dulciuri si Jucarii - up to 30% off - 25 mai - 1 iunie,2026-05-25 05:30:00 UTC,2026-06-01 20:45:00 UTC,                ,"Dragi afiliati,

Dorim sa va anuntam ca in perioada 25 mai- 1 iunie activam o campanie de sale cu discount de pana la 30% pentru o selectie de produse din categoriile dulciuri si jucarii.
Aici puteti accesa listingul dedicat campaniei: https://bestvalue.eu/listing/the-cutest-sale.
Va invitam sa vedeti si materialele jucause din sectiunea banners.
Va invitam la conversii!
Multu spor,
Andra",,https://bestvalue.eu/listing/the-cutest-sale,
noriel.ro ,50 lei Voucher Cadou la comenzile de minimum 249 de lei | 25.05 - 02.06.2026,2026-05-24 22:00:00 UTC,2026-06-02 20:45:00 UTC,-,"Te asteptam pe Noriel.ro sa alegi cele mai tari jucarii si jocuri! 🧸🧩 Foloseste codul NORIEL50 in perioada 25.05 - 02.06.2026 si ai 50 de lei DISCOUNT 💸 la cumparaturi de minimum 249 de lei pentru produsele din categoria jucarii, jocuri si carti 📚🤩 >> https://noriel.ro/
Exceptie produsele aflate in alte promotii, in stoc furnizor si seturile Pokémon TCG. ",NORIEL50,https://noriel.ro/,Special Banners
centini.ro/,Transport gratuit la comenzi de peste 99 lei,2026-05-24 21:00:00 UTC,2026-05-30 21:00:00 UTC,"Promotia este potrivita pentru toate tipurile de afiliati. Dorim sa lucram in mod special cu afiliati care fac campanii platite.
Promotia este valabila doar pentru afiliati.","In perioda 25-31 mai 2026, la cumparaturi de minim 99 lei. Beneficiezi de transport gratuit.",LIVRAREGRATIS,https://www.centini.ro/,Special Banners
grandeoptique.ro,Pana la 35% reducere la ochelari de lux si premium,2026-05-24 21:00:00 UTC,2026-06-29 21:00:00 UTC,Reduceri de pana la 35% la produse de top si bestsellere de la branduri de lux si premium pentru #ochelariUimitori de la GrandeOptique.ro .,La GrandeOptique.ro sunt reduceri de pana la 35% la ochelarii de soare si ramele de ochelari de la mărci de lux si premium. Acum e momentul sa ai #ochelariUimitori de la cele mai renumite branduri. Nu rata oferta si cumpara acum cu reducere de pe GrandeOptique.ro,"",https://grandeoptique.ro,
litera.ro ,"🧸 De 1 iunie, copiii au decis: toate cărțile trebuie să ajungă la ei! (25 mai-1 iunie) 🧸",2026-05-24 21:00:00 UTC,2026-06-01 20:45:00 UTC,"De 1 iunie, copiii au decis: toate cărțile trebuie să ajungă la ei! Astfel că, pentru această campanie care va avea loc în perioada 25 mai - 1 iunie, ne-am pregătit cu următoarele:
✔ reduceri de până la 80%
✔ jucărie de pluș cadou la orice comandă, diverse modele

🚨 Găsiți bannerele aici 👉 https://www.swisstransfer.com/d/b2926aa5-5cf5-4eb4-8600-b760a3c00c43 
","🎂 De Ziua Copilului, sărbătorim alături de cei mici cu reduceri de până la 80%. De la povești ilustrate până la enciclopedii și cărți de activități, pe toate le găsești pe litera.ro, la cele mai bune prețuri. 📖

🎁 Plus o jucărie de pluș cadou, care îi va ține companie în toate aventurile. 🧸 *Jucărie de pluș cadou la orice comandă, diverse modele.",,https://www.litera.ro/,Special Banners
nepstore.ro/,Reduceri de până la 25% la parfumurile selectate,2026-05-23 21:00:00 UTC,2026-05-30 21:00:00 UTC,Parfumuri cu până la 25% reducere,Alege parfumul preferat din selecția de produse la reducere de pe nepstore.ro,,https://www.nepstore.ro/oferte,
nemira.ro ,BookAlert cu 50% REDUCERE la coș!,2026-05-22 07:00:00 UTC,2026-05-31 20:45:00 UTC,"Dacă te mai putem ajuta cu ceva, suntem aici. Îți răspundem cât ai zice „click”!","🚨📚 Pssst...BookAlert a ajuns pe NEMIRA.RO cu cărți la jumătate de preț! Am redus totul cu 50% ca să-ți completezi biblioteca mai repede decât crezi.

📖 50% reducere la coșul de cumpărături prin codul BOOK50,
✨ Noutăți, bestsellere și titluri pe care le aveai de mult pe listă, acum la prețuri speciale,
🚚 Transport GRATUIT la comenzi de minimum 190 lei, oriunde în România.

👉 Dacă ai o listă de cărți pe care tot amâni să o bifezi, acum e momentul perfect să intri pe https://nemira.ro/oferta-nemira.

*Îți punem la dispoziție codul BOOK50 valabil în perioada 22 mai 2026 (ora 10:00) – 31 mai 2026 (ora 23:59), pentru cumpărături pe website-ul www.nemira.ro. Acest cod se aplică la coșul de cumpărături, indiferent de valoarea comenzii, prin introducerea BOOK50 în câmpul special CODURI NEMIRA. Reducerea de 50% în baza codului va fi dedusă din valoarea totală a produselor eligibile comandate în limita stocului și nu se cumulează cu alte beneficii acordate prin coduri cadou active pe www.nemira.ro. Produsele eligibile sunt titlurile semnalizate prin bulina „PROMO"".",,https://nemira.ro/oferta-nemira,
estel.ro ,Oferta pentru blonde si nu doar,2026-05-21 21:00:00 UTC,2026-06-07 20:45:00 UTC,baner,"Părul tău merită îngrijire specială ✨
Păstrează nuanța rece, strălucirea și aspectul sănătos al părului blond sau vopsit cu produsele profesionale preferate.
Profită acum de reduceri speciale la șampoane, măști, tratamente și produse pentru protecția culorii — pentru un blond luminos, fără compromisuri. 
25% REDUCERE la toate produsele ingrijire specială pentru păr vopsi și blond si masti nuantatoare.
Descoperă gamele profesionale de produse create special pentru parul tău!",,https://www.estel.ro/ro/promotions,Special Banners
litera.ro ,📚 Cărți la preț de tipar - până la -80% (22 - 24 mai) 📚,2026-05-21 21:00:00 UTC,2026-05-24 20:45:00 UTC,"În perioada 22-24 mai cititorii Litera pot achiziționa cărțile preferate la preț de tipar. Reducerile vor fi de până la 80%!

🚨 Bannerele sunt disponibile aici 👉 https://www.swisstransfer.com/d/f9d3b320-a75f-417b-8216-07b524249f65 
","O selecție de cărți te așteaptă la 𝐩𝐫𝐞𝐭̦ 𝐝𝐞 𝐭𝐢𝐩𝐚𝐫 pe litera.ro: de la bestsellere și romane care se citesc pe nerăsuflate, la cărți pentru copii și titluri de non-ficțiune.",,https://www.litera.ro/,Special Banners
