Affiliate program,Promotion name,Start Date,End Date,Description (for affiliate),Description (for customer),Coupon code,Landing Page,Benefits & Tools
estel.ro ,Provocarea parului sanatos – Întoarcerea la rutina de toamnă,2026-09-17 21:00:00 UTC,2026-10-15 20:45:00 UTC,bannere,"Toamna este sezonul tratamentelor pentru toate tipurile de par, mai ales cel slabit, uscat si deteriorat. Tot în această perioadă sensibilitatea scalpului este mai ridicată și ca urmare avem cadere excesiva a parului si senzatii de discomfort. Dacă dorești ca părul tău să fie frumos și sănătos - asigura-i creștere și forta, de la radacini pana la varfuri. Cauta produsele ce conțin ingrediente hrănitoare și reparatoare precum ulei de argan, keratină și vitamine, pentru un păr mai puternic, strălucitor și ușor de descurcat.

Urmează rutina completă de îngrijire: șampon, balsam și mască intensivă, pentru rezultate vizibile în doar câteva săptămâni. Nu uita si de sprayurile protectoare!",,https://www.estel.ro/ro/promotions/provocarea-parului-sanatos-intoarcerea-la-rutina-de-toamna,Special Banners
infinity.ro ,"Back to School, Back to Cool!",2026-08-25 07:00:00 UTC,2026-09-06 20:45:00 UTC,"EN: We would like to propose a new opportunity for the upcoming period: our seasonal ""Back to School"" campaign, focusing on school supplies and stationery. We are right in the ideal window to attract traffic from parents preparing for the new school year.

The landing page directs you to a category with over 1,700 products in stock (from backpacks and notebooks to writing instruments or arts and crafts supplies). Among these, you will also find items at discounted prices.

Here are a few ideas that could help your promotion:

Materials: The campaign banners (""Back to School, Back to Cool!"") are already waiting for you, ready to use in the dedicated section of the platform.

Audience: The products are directly targeting parents.

Focus: A highly effective approach would be to emphasize the idea of ""sorting out the entire shopping list in one place"".

RO : Vă propunem o nouă oportunitate pentru perioada următoare: campania de sezon „Back to School”, axată pe rechizite și articole școlare. Intrăm chiar acum în fereastra ideală pentru a atrage trafic din rândul părinților care încep pregătirile pentru noul an școlar.

Landing page-ul vă direcționează către o categorie cu peste 1.700 de produse în stoc (de la ghiozdane și caiete, până la instrumente de scris sau arte plastice). Prin printre acestea se regăsesc și articole cu prețuri reduse.

Câteva idei care vă pot ajuta în promovare:

Materiale: 
Bannerele campaniei („Back to School, Back to Cool!”) vă așteaptă deja gata de folosit în secțiunea dedicată din platformă.

Audiență: Produsele îi vizează direct pe părinți. 

Focus: O abordare foarte eficientă ar fi să puneți accent pe ideea de „rezolvă toată lista de cumpărături dintr-un singur loc”. 

 Vă dorim mult spor și să avem o toamnă cu cât mai multe conversii împreună!","Anul acesta bifezi lista de rechizite simplu și rapid. Back to School, Back to Cool! Am pregătit pentru copilul tău o ofertă completă: de la ghiozdane, penare și caiete, până la instrumente pentru desen și lucru manual. Rezolvă toate cumpărăturile dintr-o singură comandă, la prețuri avantajoase.",,https://www.infinity.ro/carti-si-birotica/rechizite,Special Banners
giftdesign.ro,🎒 Campanie exclusiva afiliati: -30% | Affiliate Exclusive: 30% OFF,2026-08-23 21:00:00 UTC,2026-08-30 21:00:00 UTC,"RO: 🎒 Săptămâna Ghiozdanelor | 24–31 august
Campanie specială cu 30% reducere, disponibilă exclusiv prin codurile partenerilor afiliați participanți.
Vrei să participi? Trimite-ne un mesaj în platformă, iar noi revenim cu codul tău personalizat și bannerul campaniei.

EN: 🎒 Backpack Week | 24–31 August
Special 30% OFF campaign, available exclusively through participating affiliate partners' codes.
Want to join? Send us a message through the platform and we will provide your personalised discount code and campaign banner.","RO: 🎒 Saptamana Ghiozdanelor | 24–31 august
Pregateste-te de Back to School cu 30% reducere la ghiozdane si genti pentru pranz!
Foloseste codul de reducere al partenerului la finalizarea comenzii si profita de oferta pana pe 31 august.

EN: 🎒 Backpack Week | 24–31 August
Get ready for Back to School with 30% OFF backpacks and lunch bags!
Use the partner discount code at checkout and enjoy the offer until 31 August.",,https://www.giftdesign.ro/info/ghiozdane-si-genti-pentru-pranz?utm_source=2performant&utm_medium=affiliate&utm_campaign=ghiozdane30,Special Banners
litera.ro ,🌞 Lichidare de vară - până la -90% (20-26 august) 🌞,2026-08-19 21:00:00 UTC,2026-08-26 20:45:00 UTC,"Lichidare de vară, cea mai mare campanie a lunii va avea loc în perioada 20 - 26 august. Reducerile vor fi de până la 90% la bestsellerurile verii, cărți de dezvoltare personală, povești pentru copii și multe altele.
🚨 Găsiți bannerele aici 👉 https://www.swisstransfer.com/dl/01a015e3-0c14-72c5-807b-241f6bc228a6 
","🧡 Vara asta ai mai mult timp de citit și prețuri la care nu trebuie să te gândești de două ori pe litera.ro. 
Romane care te țin cu sufletul la gură, dezvoltare personală și povești pentru copii, toate cu reduceri de până la -90%. 📖
📦 Stocurile sunt limitate.
📅 Oferta e valabilă în perioada 20 - 26 august
",,https://www.litera.ro/,Special Banners
atelier49.ro,Pana la 50% reducere la produse din ceramica,2026-08-19 21:00:00 UTC,2026-08-30 21:00:00 UTC,"Se pot folosi orice imagini de pe site si linkuri catre orice produse. De asemenea, acceptam toate metodele de promovare. ",Economiseste pana la 50% la tavile si oalele din lut si butoaiele de vin si platourile din ceramica de la Atelier49. ,,https://www.atelier49.ro/ceramica,
f64.ro,𝐁𝐚𝐜𝐤 𝐭𝐨 𝐒𝐜𝐡𝐨𝐨𝐥 la F64 cu reduceri de până la -70%🏷️,2026-08-19 11:00:00 UTC,2026-09-08 20:45:00 UTC,"Campania Back to School are reduceri de până la 70% la camere, lumini, microfoane, trepiede și accesorii, iar landing page-ul oficial le include pe toate. Dacă vreți să promovați campania, merg foarte bine articolele, postările pe social media, review-urile, unboxing-urile și recomandările de produse. 

Selecția de produse aflate în oferta Back to School sunt cele mai relevante în perioada aceasta, așa că le puteți pune în prim-plan. Vă rugăm să folosiți doar informațiile oficiale din campanie, ca să fie totul clar pentru comunitățile voastre. ","Back to School la F64 aduce reduceri de până la 70% la camere foto, lumini, microfoane, trepiede și accesorii pentru creatori. Produsele participante sunt actualizate constant, iar promoțiile sunt valabile pe durata campaniei. Perfect pentru orice tip de content creator, fotograf sau vlogger.",,https://www.f64.ro/back-to-school,Special Banners
linailsboutique.ro/,Lichidare de stoc LNB – reduceri de pana la 70%,2026-08-17 21:00:00 UTC,2026-09-30 20:45:00 UTC,Lichidare de stoc LNB – reduceri de pana la 70%,"Profita de lichidarea de stoc LNB si descopera peste 500 de produse profesionale pentru manichiura, la preturi reduse cu pana la 70%. Oferta include accesorii nail art, stickere, folii de transfer si produse din colectii care nu vor mai reveni. Stocurile sunt limitate, iar promotia este valabila pana la epuizarea acestora si nu se cumuleaza cu alte oferte.
",,https://linailsboutique.ro/lichidare-de-stoc/,
linailsboutique.ro/,Geluri UV LNB cu reduceri de pana la 50%,2026-08-17 21:00:00 UTC,2026-09-30 20:45:00 UTC,Geluri UV LNB cu reduceri de pana la 50%,"Descopera gama de geluri UV LNB la preturi reduse cu pana la 50%. Alege dintre geluri de constructie, fiber gel, soft gel, forming gel, painting gel si baze profesionale, disponibile in numeroase nuante si texturi. Profita acum de oferta si completeaza-ti trusa cu produsele potrivite pentru manichiuri rezistente si rezultate impecabile.
",,https://linailsboutique.ro/geluri-lnb,
carturesti.ro ,Târg de carte III,2026-08-17 21:00:00 UTC,2026-08-23 21:00:00 UTC,"Nu toate călătoriile de vara aceasta au nevoie de bagaj. Unele încap într-o carte, iar călătoria poate începe chiar de pe canapea, de pe plajă sau din grădină — oriunde ai de gând să te ascunzi puțin de căldură, cu o poveste bună.

Din 18 până pe 24 august, ai 20% reducere la mii de titluri în limba română, din toate domeniile, pe carturesti.ro. Târgul de carte a venit la tine acasă: explorează în ritmul tău, fără cozi și fără grabă. În luna august, săptămână de săptămână, vei găsi o nouă selecție cu -20%.

Promoție valabilă exclusiv pe carturesti.ro, în limita stocului disponibil. Oferta nu se cumulează cu alte promoții şi reduceri valabile online.","Nu toate călătoriile de vara aceasta au nevoie de bagaj. Unele încap într-o carte, iar călătoria poate începe chiar de pe canapea, de pe plajă sau din grădină — oriunde ai de gând să te ascunzi puțin de căldură, cu o poveste bună.

Din 18 până pe 24 august, ai 20% reducere la mii de titluri în limba română, din toate domeniile, pe carturesti.ro. Târgul de carte a venit la tine acasă: explorează în ritmul tău, fără cozi și fără grabă. În luna august, săptămână de săptămână, vei găsi o nouă selecție cu -20%.

Promoție valabilă exclusiv pe carturesti.ro, în limita stocului disponibil. Oferta nu se cumulează cu alte promoții şi reduceri valabile online.",,https://carturesti.ro/offer/targ-de-carte-la-tine-acasa-6648,Special Banners
carturesti.ro ,Vacanță cu joacă,2026-08-17 21:00:00 UTC,2026-08-23 21:00:00 UTC,"Câte jocuri și jucării încap într-o valiză de vacanță? Depinde pe cine întrebi, firește: copiii sau părinții. Pe carturesti.ro găsești de toate: jocuri mici, pentru rucsacuri mititele și board games mari, pentru valize încăpătoare. Oricare ar fi răspunsul în cazul familiei tale, noi venim în ajutor cu 20% reducere la întreaga ofertă de jocuri, jucării și board games în stoc 24h în perioada 18-24 august.

Oferta este valabilă doar pe carturesti.ro, în limita stocului disponibil, cu excepția figurinelor Funko, și nu se cumulează cu alte promoții și reduceri valabile online.","Câte jocuri și jucării încap într-o valiză de vacanță? Depinde pe cine întrebi, firește: copiii sau părinții. Pe carturesti.ro găsești de toate: jocuri mici, pentru rucsacuri mititele și board games mari, pentru valize încăpătoare. Oricare ar fi răspunsul în cazul familiei tale, noi venim în ajutor cu 20% reducere la întreaga ofertă de jocuri, jucării și board games în stoc 24h în perioada 18-24 august.

Oferta este valabilă doar pe carturesti.ro, în limita stocului disponibil, cu excepția figurinelor Funko, și nu se cumulează cu alte promoții și reduceri valabile online.",,https://carturesti.ro/offer/vacanta-cu-joaca-6654,Special Banners
